 X,Y,Z,T,T_a
0.0003,0.0062,0.0,367.819,367.814025348375
0.0003,0.0063,0.0,367.752,367.7474324100922
0.0003,0.0064,0.0,367.679,367.6738561663314
0.0003,0.0065,0.0,367.597,367.59284746610433
0.0003,0.0066,0.0,367.508,367.50389504869884
0.0003,0.0067,0.0,367.411,367.40641702502137
0.0003,0.0068,0.0,367.304,367.29975072307695
0.0003,0.0069,0.0,367.188,367.1831405435919
0.0003,0.007,0.0,367.06,367.0557233790755
0.0003,0.0071,0.0,366.921,366.9165110291589
0.0003,0.0072,0.0,366.769,366.7643688872625
0.0003,0.0073,0.0,366.602,366.59798996524637
0.0003,0.0074,0.0,366.42,366.4158630450306
0.0003,0.0075,0.0,366.22,366.21623337277657
0.0003,0.0076,0.0,366.001,365.9970538041609
0.0003,0.0077,0.0,365.76,365.75592361353154
0.0003,0.0078,0.0,365.494,365.4900112144891
0.0003,0.0079,0.0,365.2,365.1959556844762
0.0003,0.008,0.0,364.873,364.8697400599011
0.0003,0.0081,0.0,364.51,364.50652659351283
0.0003,0.0082,0.0,364.104,364.1004401104393
0.0003,0.0083,0.0,363.648,363.6442795809487
0.0003,0.0084,0.0,363.132,363.12912894865303
0.0003,0.0085,0.0,362.547,362.5438243137313
0.0003,0.0086,0.0,361.877,361.8742127682264
0.0003,0.0087,0.0,361.105,361.10210340103623
0.0003,0.0088,0.0,360.206,360.2037543595786
0.0003,0.0089,0.0,359.15,359.1476456965028
0.0003,0.009,0.0,357.893,357.89112796206075
0.0003,0.0091,0.0,356.377,356.37526057477777
0.0003,0.0092,0.0,354.518,354.5166723455714
0.0003,0.0093,0.0,352.195,352.19444120876744
0.0003,0.0094,0.0,349.228,349.2286142271904
0.0003,0.0095,0.0,345.344,345.3451378843317
0.0003,0.0096,0.0,340.119,340.12163688491427
0.0003,0.0097,0.0,332.922,332.9212162660172
0.0003,0.0098,0.0,322.912,322.89423122831306
0.0003,0.0099,0.0,309.396,309.3603815457126
0.0003,0.01,0.0,293.0,293.00000000000006
0.0004,0.0,0.0,293.0,293.0
0.0004,0.0001,0.0,305.452,305.4416999076997
0.0004,0.0002,0.0,316.554,316.54343537226634
0.0004,0.0003,0.0,325.673,325.6682732588644
0.0004,0.0004,0.0,332.861,332.8599404295499
0.0004,0.0005,0.0,338.461,338.4604892696701
0.0004,0.0006,0.0,342.844,342.84275070724846
0.0004,0.0007,0.0,346.316,346.31416602329375
0.0004,0.0008,0.0,349.107,349.1051111932526
0.0004,0.0009,0.0,351.385,351.3827527719633
0.0004,0.001,0.0,353.271,353.2677653581373
0.0004,0.0011,0.0,354.851,354.84786396089737
0.0004,0.0012,0.0,356.191,356.18758534590893
0.0004,0.0013,0.0,357.339,357.3350889471456
0.0004,0.0014,0.0,358.331,358.32683900516247
0.0004,0.0015,0.0,359.195,359.1908380492698
0.0004,0.0016,0.0,359.953,359.9488806159308
0.0004,0.0017,0.0,360.622,360.6181430690632
0.0004,0.0018,0.0,361.217,361.2123199083201
0.0004,0.0019,0.0,361.747,361.74244683786503
0.0004,0.002,0.0,362.222,362.21750478967857
0.0004,0.0021,0.0,362.65,362.64486880095865
0.0004,0.0022,0.0,363.036,363.03064560108
0.0004,0.0023,0.0,363.385,363.3799303759609
0.0004,0.0024,0.0,363.702,363.69700413743453
0.0004,0.0025,0.0,363.991,363.9854869492566
0.0004,0.0026,0.0,364.254,364.24845799216985
0.0004,0.0027,0.0,364.494,364.48855046471385
0.0004,0.0028,0.0,364.714,364.7080272045157
0.0004,0.0029,0.0,364.915,364.9088414044505
0.0004,0.003,0.0,365.098,365.0926857065315
0.0004,0.0031,0.0,365.267,365.2610321595672
0.0004,0.0032,0.0,365.421,365.41516493932517
0.0004,0.0033,0.0,365.562,365.55620729310533
0.0004,0.0034,0.0,365.691,365.68514384283833
0.0004,0.0035,0.0,365.809,365.80283913282125
0.0004,0.0036,0.0,365.916,365.9100531190521
0.0004,0.0037,0.0,366.014,366.0074541517544
0.0004,0.0038,0.0,366.102,366.0956298901343
0.0004,0.0039,0.0,366.181,366.1750965006396
0.0004,0.004,0.0,366.253,366.2463064210673
0.0004,0.0041,0.0,366.316,366.309654918349
0.0004,0.0042,0.0,366.372,366.3654856244279
0.0004,0.0043,0.0,366.42,366.4140951998018
0.0004,0.0044,0.0,366.462,366.45573724613115
0.0004,0.0045,0.0,366.497,366.49062556633305
0.0004,0.0046,0.0,366.525,366.5189368516503
0.0004,0.0047,0.0,366.547,366.5408128594135
0.0004,0.0048,0.0,366.563,366.55636213190024
0.0004,0.0049,0.0,366.572,366.565661295259
0.0004,0.005,0.0,366.575,366.56875596745994
0.0004,0.0051,0.0,366.572,366.565661295259
0.0004,0.0052,0.0,366.563,366.5563621319002
0.0004,0.0053,0.0,366.547,366.5408128594135
0.0004,0.0054,0.0,366.525,366.51893685165027
0.0004,0.0055,0.0,366.497,366.490625566333
0.0004,0.0056,0.0,366.462,366.4557372461312
0.0004,0.0057,0.0,366.42,366.41409519980175
0.0004,0.0058,0.0,366.372,366.3654856244279
0.0004,0.0059,0.0,366.316,366.30965491834905
0.0004,0.006,0.0,366.253,366.2463064210673
0.0004,0.0061,0.0,366.181,366.1750965006396
0.0004,0.0062,0.0,366.102,366.0956298901343
0.0004,0.0063,0.0,366.014,366.0074541517545
0.0004,0.0064,0.0,365.916,365.9100531190521
0.0004,0.0065,0.0,365.809,365.8028391328213
0.0004,0.0066,0.0,365.691,365.68514384283833
0.0004,0.0067,0.0,365.562,365.5562072931054
0.0004,0.0068,0.0,365.421,365.41516493932517
0.0004,0.0069,0.0,365.267,365.26103215956726
0.0004,0.007,0.0,365.098,365.0926857065315
0.0004,0.0071,0.0,364.915,364.9088414044505
0.0004,0.0072,0.0,364.714,364.70802720451576
0.0004,0.0073,0.0,364.494,364.4885504647139
